Headline,Date,Sentiment Score,Organization Names
"Budget 2024: Rooftop solar, green hydrogen push — experts discuss initiatives to charge up renewable energy sector | Mint - Mint",2024-02-02 12:50:00,0.9024056792259216,"['Mint', 'Mint']"
JSW Neo Energy secures LoA for hydrogen production facility - Manufacturing Today India,2024-02-06 06:02:38,0.8629289269447327,"['JSW Neo Energy', 'LoA', 'Manufacturing Today India']"
Abu Dhabi Partners with HYCAP for Green Hydrogen Facility Development - ChemAnalyst,2024-02-06 10:43:19,0.9629494547843932,"['Abu Dhabi Partners', 'HYCAP', 'Green Hydrogen Facility Development', 'ChemAnalyst']"
"India Energy Week: Modi says nation set to become green hydrogen production, export hub - Moneycontrol",2024-02-06 08:02:20,0.9818270802497864,['Moneycontro']
Government Allocates Rs 1.15 Bn for Green Hydrogen Pilot - Construction World,2024-02-06 11:00:09,0.9681365489959716,"['Green Hydrogen Pilot', 'Construction World']"
Govt allocates Rs 115 crore for green hydrogen pilot in shipping sector: MNRE - ETEnergyWorld,2024-02-02 17:35:36,0.9437766671180724,"['##E', 'ETEnergyWorld']"
Kraft Heinz Announces Plans for Maiden Green Hydrogen Facility to Fuel UK Operations - ChemAnalyst,2024-02-06 06:48:06,0.5006069540977478,"['Kraft Heinz', 'UK', 'ChemAnalyst']"
"MC Explainer: New guidelines, challenges for using green hydrogen in steel industry - Moneycontrol",2024-02-05 14:04:49,0.9614275097846984,['Moneycontro']
"Rs 11,500 crore outlay: Budget 2024 adds spark to wind & solar energy, green hydrogen projects - Business Today",2024-02-01 13:17:21,0.9986050724983216,['Business']
Steel and port ministries lay out guidelines for hydrogen usage - Manufacturing Today India,2024-02-06 06:24:29,0.9361881613731384,['Manufacturing Today India']
Govt shares guidelines for Green Hydrogen Pilot Projects in steel sector - Moneycontrol,2024-02-04 10:13:01,0.8701213002204895,"['Green Hydrogen Pilot Projects', 'Moneycontro']"
Green Hydrogen Mission gets whopping 102% hike in allocation in Interim Budget - The Economic Times,2024-02-01 15:38:12,0.977482795715332,"['Green Hydrogen Mission', 'The Economic Times']"
MNRE issues guidelines for pilot projects implementing Green Hydrogen in steel sector - CNBCTV18,2024-02-02 17:51:25,0.9788070917129515,"['MNRE', 'CNBCTV']"
Budget 2024: Green hydrogen’s allocation rises by whopping 102 per cent - ETEnergyWorld,2024-02-02 01:30:00,0.6374533772468567,"['Green', 'ETEnergyWor']"
AMPO and GRZ Technologies form hydrogen storage partnership - Energy Global,2024-02-06 09:02:53,0.9974519610404968,"['AMPO', 'GRZ Technologies', 'Energy Global']"
NGEL Partners with Maharashtra Government for Green Hydrogen Project Development - SolarQuarter,2024-02-05 08:09:57,0.9723606705665588,"['NGEL Partners', 'Maharashtra Government', 'Green Hydrogen Project', 'SolarQuarter']"
India plans green hydrogen pilot projects in shipping and steel - H2 View,2024-02-05 11:53:26,0.9594845175743104,[]
Govt launches pilot project on use of green hydrogen in shipping - Moneycontrol,2024-02-02 15:34:56,0.5659545063972473,['Moneycon']
‘Gujarat can lead world in green hydrogen’ - Times of India,2024-02-02 03:01:00,0.9956700801849364,['Times of India']
India's Plans to Achieve Cost-Effective Green Hydrogen Production - India Briefing,2024-01-26 08:00:00,0.723976194858551,[]
India rolls out program to support green hydrogen ship retrofits - Offshore Energy,2024-02-05 13:59:55,0.9803147315979004,['Offshore Energy']
Kraft Heinz partners with Carlton Power to deliver renewable green hydrogen project - Food & Drink International - Food & Drink International,2024-02-06 14:34:03,0.9949499368667604,"['Kraft Heinz', 'Carlton Power', 'Food & Drink International', 'Food & Drink International']"
"Mangaluru: Green hydrogen, coal bleaching are best choice for clean energy - Minister K J George - Daijiworld.com",2024-02-05 14:14:14,0.9820538759231568,['Daijiworld']
India Launches Pilot Projects for Green Hydrogen in Maritime Sector under National Mission - SolarQuarter,2024-02-02 10:00:49,0.9940658807754515,"['Projects', 'Green Hydrogen', 'Maritime', 'National Mission', 'SolarQuarter']"
MNRE releases guidelines on use of green hydrogen in shipping sector - Business Standard,2024-02-02 16:51:47,0.7998645901679993,['MNRE']
Steel and Port Ministries issue guidelines to incentivise hydrogen usage - BusinessLine,2024-02-02 16:50:05,0.9790442585945128,['Steel and Port Ministries']
Centre offers Rs 115 crore support for retrofitting ships to run on Green Hydrogen - The Economic Times,2024-02-02 15:07:18,0.9907241463661194,"['Hydro', 'Economic Times']"
"THDC Unveils Trailblazing Green Hydrogen Pilot Project in Uttarakhand, Pioneering Sustainable Energy Solutions - SolarQuarter",2024-02-02 11:06:23,0.9993438124656676,"['THDC', '##bla', 'Green Hydrogen Pilot Project', 'Pioneering Sustainable Energy Solutions', 'SolarQuarter']"
Yieh Corp Steel News - Yieh Corp Steel News,2024-02-06 08:14:03,0.9665492177009584,"['Yieh Corp Steel News', 'Yieh Corp Steel News']"
Jordan's Energy Minister Inks MoU For Green Hydrogen Project Feasibility Studies - SolarQuarter,2024-02-02 08:51:34,0.8142627477645874,"['In', 'MoU For Green Hydrogen Project', 'SolarQua']"
"AMPO, GRZ Technologies partner to supply hydrogen storage solutions - H2 View",2024-02-06 11:49:54,0.9540275931358336,"['AMPO', 'GRZ Technologies']"
Lhyfe Commences Construction on 10-MW Green Hydrogen Facility in Germany - ChemAnalyst,2024-02-02 09:58:11,0.9424545764923096,"['Lhyfe Commences Construction', 'Green Hydrogen Facility', 'ChemAnalyst']"
Blue will be bp's hydrogen focus this decade – energy major posts $13.8bn 2023 profits - H2 View,2024-02-06 11:02:09,0.5809182524681091,[]
Support for Ports and Portability to Green Hydrogen - ETAuto,2024-02-03 03:38:07,0.9814630746841432,['ETAuto']
"Maharashtra Spearheads Green Energy Revolution with ₹2,76300 Crore Investment and 63900 Jobs in Green ... - SolarQuarter",2024-02-02 12:49:24,0.9986374974250792,"['Maharashtra Spear', 'Green Energy Revolution', 'C', 'Investment', 'SolarQua']"
How is the Adoption of Fuel Cell Technology Shaping the Future of Green Hydrogen in India's Renewable Energy Sector - CXOToday.com,2024-02-05 12:31:58,0.9979037046432496,['CXOToday']
Green Hydrogen Breakthrough Could Bring Heavy Industry Into The Zero-Carbon Era - OilPrice.com,2024-02-06 00:00:00,0.6283207535743713,"['OilPrice', 'com']"
Oracle Power upbeat on study into proposed Pakistan hydrogen project - ShareCast,2024-02-06 12:45:28,0.6983876824378967,"['Oracle Power', '##C']"
"Lhyfe to Start Construction of 10 MW Green Hydrogen Plant in Brake, Germany - Europe - Energetica India",2024-02-03 06:51:49,0.9402268528938292,"['Lhyfe to Start Construction', 'Green Hydrogen Plant', '##ica']"
Hygenco to invest $2.5 bn over 3 years to set up Green Hydrogen projects in India - ETEnergyWorld,2024-01-31 12:22:06,0.7834759950637817,"['H', '##ygenco', 'Green Hydrogen', 'ETEnergyWorld']"
Govt greenlights pilot projects for Green Hydrogen in shipping sector - Construction World,2024-02-05 10:44:04,0.9244964718818665,"['Green Hydrogen', 'Construction World']"
Abu Dhabi Department Of Economic Development And HYCAP Group Partner To Drive Green Hydrogen Innovation - SolarQuarter,2024-02-05 11:25:48,0.994481325149536,"['Abu Dhabi Department Of Economic Development', 'HYCAP Group', '##gen Innovation', 'SolarQua']"
"NTPC Green Energy to invest ₹80,000 cr for Maharashtra projects | Mint - Mint",2024-01-30 12:43:07,0.9114206433296204,"['NTPC Green Energy', 'Mint', 'Mint']"
34 Companies Bid for Green Hydrogen Subsidies in India - India Briefing,2023-12-21 08:00:00,0.8397874236106873,['Green Hydrogen Sub']
Kraft Heinz to Develop Green Hydrogen Project in the UK - Environment+Energy Leader,2024-02-06 14:30:51,0.9972585439682008,"['Kraft Heinz', 'Green Hydrogen Project', 'Environment + Energy Leader']"
"Maharashtra signs MoUs worth over Rs 2,763 billion for green hydrogen projects - Power Line Magazine - Power Line Magazine",2024-02-02 10:45:01,0.9719505906105042,"['Power Line Magazine', 'Power Line Magazine']"
Busting hydrogen myths: Cost | Hydrogen - gasworld,2024-02-06 09:00:02,0.9101115465164183,[]
Govt to provide 50% financial aid to pilot projects using Green Hydrogen in steel sector - PSU Watch,2024-02-02 16:10:57,0.7174411416053772,"['Green Hydrogen', 'PSU Watch']"
Egypt launches 55% tax credit to boost green hydrogen production - ETN News,2024-02-02 11:07:29,0.8805380463600159,['ETN News']
India Launches Green Hydrogen Pilot Projects in Shipping Sector - Asia Pacific - Energetica India,2024-02-03 08:32:09,0.9970332384109496,"['Green Hydrogen Pilot Projects', 'Energetica India']"
Maharashtra govt signs MOUs with 7 companies for green hydrogen production - Business Standard,2024-01-30 02:03:38,0.8584206700325012,[]
"NTPC Green Energy inks MoU with Maharashtra Govt for green hydrogen projects Worth ₹80,000 crore - ETEnergyWorld",2024-01-30 08:10:07,0.7586340308189392,"['NTPC Green Energy', 'Maharashtra Govt', 'ETEnergyWor']"
Government issues Guidelines for Pilot Projects for utilizing Green Hydrogen in Shipping Sector - Nagaland Tribune,2024-02-03 06:33:12,0.9583340287208556,"['Green H', 'Nagaland Tribune']"
"ReNew proposes to invest Rs 26,400 crore for green hydrogen project in Kerala - ETEnergyWorld",2024-01-29 01:43:42,0.7336315512657166,"['ReNew', 'ETEnergyWorld']"
Green hydrogen in shipping | India outlines funding to retrofit existing vessels and install ammonia fuelling at ports - Hydrogen Insight,2024-02-05 08:37:00,0.8256041407585144,"['H', '##ydrogen Insight']"
"Budget boost for clean energy: Solar allocation soars to ₹8,500 cr; green hydrogen funding doubles - ETEnergyWorld",2024-02-02 02:48:43,0.9542853236198424,['ETEnergyWor']
Linde Commences Delivery of Green Hydrogen and Captured Carbon Dioxide to Celanese - ChemAnalyst,2024-02-01 11:43:24,0.7738228440284729,"['Lin', '##ydro', 'ChemAnalys']"
Government of India Unveils Guidelines for Green Hydrogen Pilot Projects in Steel Sector - Asia Pacific - Energetica India,2024-02-03 07:47:00,0.9957038760185242,"['Government of India', 'Green Hydrogen Pilot Projects', 'Energetica India']"
Lhyfe begins construction of 10 MW green hydrogen plant in Lower Saxony - ETN News,2024-02-02 02:57:05,0.5088430643081665,"['Lhyfe', 'ETN News']"
"Reliance Industries to convert its 5,000 ICE trucks to green hydrogen-powered H2ICE trucks by mid-2024 - Autocar Professional",2024-02-02 08:00:00,0.7836101651191711,"['Reliance Industries', 'ICE']"
"Jakson Green, NTPC Commence Work on World's Largest Green Hydrogen Fueling Station - Asia Pacific - Energetica India",2024-02-03 06:31:46,0.9872085452079772,"['NTPC', 'Ener', '##ica']"
"SAF, Green Hydrogen, CCUS likely to be in spotlight at IEW 2024: EIL CMD - PSU Watch",2024-02-03 16:54:39,0.9647291898727416,"['SAF', 'Green Hydrogen', 'IEW', 'PSU Watch']"
Germany and EU Invest Over €1 Billion to Propel Global Green Hydrogen Economy - SolarQuarter,2024-02-02 11:53:17,0.980610728263855,"['EU', 'SolarQua']"
State signs MoUs for green hydrogen projects and steel plant - Hindustan Times,2024-01-30 02:38:04,0.955744445323944,['Hindustan Times']
Lhyfe and SAF+ Unite in Venture to Spearhead Hydrogen-Derived Fuel Advancements - ChemAnalyst,2024-02-05 11:37:56,0.9983800649642944,"['Lhyfe', 'SAF', '##pearhead', 'ChemAnalyst']"
"NTPC arm, Maharashtra govt ink pact to develop green hydrogen projects - Business Standard",2024-01-30 08:14:54,0.6938540935516357,"['NTPC', 'Business Standard']"
Electrolyzer Technologies That Can Drive Green Hydrogen Success - EE Times Europe,2024-02-01 13:08:18,0.9755404591560364,"['Electrolyzer Technologies', 'EE Times Europe']"
Green Hydrogen – Shipping and Steel Sectors - INSIGHTSIAS - Insights IAS,2024-02-05 08:47:52,0.994936466217041,"['Green Hydrogen – Shipping and Steel Sector', '##HTSI', 'IAS']"
Govt unveils guidelines for supporting pilot projects using Green Hydrogen in shipping sector - PSU Watch,2024-02-02 17:10:12,0.8409566283226013,"['Green Hydrogen', 'PSU Watch']"
"Rooftop solar, green hydrogen, offshore wind, green energy corridor may find mention in FM's Budget speech - Moneycontrol",2024-01-31 19:31:44,0.960042119026184,['FM']
H2V to Integrate Vallourec’s Hydrogen Storage System into Green Hydrogen Projects - Europe - Energetica India,2024-02-02 12:20:55,0.9951038360595704,"['Vallourec', 'Hydro', 'Green Hydro', 'Energetica']"
Govt issues guidelines for pilot projects on utilizing green hydrogen in shipping sector - ANI News,2024-02-02 17:07:00,0.9747695922851562,['ANI News']
The Hydrogen Stream: India's Maharashtra signs MoUs for green hydrogen projects worth over $33.2 billion - pv magazine India,2024-01-30 05:56:22,0.6316239833831787,[]
NGEL Inks MoU with Maharashtra for Green Hydrogen Projects - SMEStreet,2024-01-31 11:03:46,0.9867699146270752,"['NGEL Inks MoU', 'Green Hydrogen', 'SMEStree']"
Chart: Which countries are leading the green hydrogen race? - Canary Media,2024-02-02 08:30:00,0.9927918910980223,['Canary Media']
NTPC plans renewables-heavy hydrogen project in Maharashtra - Renewables Now,2024-02-05 06:03:00,0.996720254421234,"['NTPC', 'Renewables Now']"
Kraft Heinz to build its first green hydrogen plant to power UK ops - Renewables Now,2024-02-05 12:32:00,0.9951960444450378,"['Kraft Heinz', 'Renewables Now']"
Reducing costs - The key to leveraging green hydrogen on the road to net zero - Hydrogen Central,2024-02-05 21:43:04,0.982272744178772,"['H', '##ydrogen Central']"
Lhyfe Starts Building a New Green Hydrogen Production Plant in Germany - DirectIndustry e-Magazine,2024-02-02 08:00:00,0.6557571291923523,"['Lhyfe', 'DirectIndustry e']"
"Gujarat-The Green Hydrogen Destination of India seminar, 3rd day VGGS - CMO Gujarat",2024-01-26 00:07:40,0.9727101922035216,"['Green Hydrogen Destination of India', 'V', 'CMO Gujarat']"
Jakson Green to ship first green hydrogen electrolyser in few months - ETEnergyWorld,2024-01-01 08:00:00,0.6698503494262695,['ETEnergyWorld']
Electrolysis Reimagined: Turning Renewable Energy Into Green Hydrogen - SciTechDaily,2024-02-04 18:29:08,0.9115272164344788,"['Energy', 'SciT', '##ail']"
